olive_plan_id,olive_plan_name,platform,olive_placement_id,olive_placement_type,date,opid,In_View_Impressions,Valid_and_Viewable_Impressions,In_View_Measurable_Impressions_viewability,Audible_And_Visible_On_Complete,In_View_Measurable_Impressions_AVOC,Valid_and_AVOC_Impressions
15870,Google Android NA 2022 Q1 2022 North America - Samsung D3 Campaign,Facebook,3022023,In-stream video,2022-02-24,3022023,34815,,177081,379,177081,379
15870,Google Android NA 2022 Q1 2022 North America - Samsung D3 Campaign,Facebook,3022023,In-stream video,2022-02-25,3022023,61808,,352363,474,352363,474
15870,Google Android NA 2022 Q1 2022 North America - Samsung D3 Campaign,Facebook,3022023,In-stream video,2022-02-26,3022023,57212,,333828,441,333828,441
15870,Google Android NA 2022 Q1 2022 North America - Samsung D3 Campaign,Facebook,3022023,In-stream video,2022-02-27,3022023,65092,,367744,531,367744,531
15870,Google Android NA 2022 Q1 2022 North America - Samsung D3 Campaign,Facebook,3022024,In-stream video,2022-02-28,3022024,6080,,37430,160,37430,160
15870,Google Android NA 2022 Q1 2022 North America - Samsung D3 Campaign,Facebook,3022023,In-stream video,2022-02-28,3022023,31417,,188586,241,188586,241
15870,Google Android NA 2022 Q1 2022 North America - Samsung D3 Campaign,Facebook,3022024,In-stream video,2022-03-01,3022024,95786,,439142,3299,439142,3299
15870,Google Android NA 2022 Q1 2022 North America - Samsung D3 Campaign,Facebook,3022026,In-stream video,2022-03-02,3022026,56413,,319190,312,319190,312
15870,Google Android NA 2022 Q1 2022 North America - Samsung D3 Campaign,Facebook,3022026,In-stream video,2022-03-03,3022026,99078,,556601,586,556601,586
15870,Google Android NA 2022 Q1 2022 North America - Samsung D3 Campaign,Facebook,3032618,In-stream video,2022-03-04,3032618,106218,,322823,237,322823,237
15870,Google Android NA 2022 Q1 2022 North America - Samsung D3 Campaign,Facebook,3032617,In-stream video,2022-03-04,3032617,127,,401,0,401,0
15870,Google Android NA 2022 Q1 2022 North America - Samsung D3 Campaign,Facebook,3022027,In-stream video,2022-03-04,3022027,1174,,2532,43,2532,43
15870,Google Android NA 2022 Q1 2022 North America - Samsung D3 Campaign,Facebook,3022026,In-stream video,2022-03-04,3022026,15710,,81389,83,81389,83
15870,Google Android NA 2022 Q1 2022 North America - Samsung D3 Campaign,Facebook,3032618,In-stream video,2022-03-05,3032618,203470,,628097,484,628097,484
15870,Google Android NA 2022 Q1 2022 North America - Samsung D3 Campaign,Facebook,3032617,In-stream video,2022-03-05,3032617,7599,,37272,26,37272,26
15870,Google Android NA 2022 Q1 2022 North America - Samsung D3 Campaign,Facebook,3032618,In-stream video,2022-03-06,3032618,188867,,608531,445,608531,445
15870,Google Android NA 2022 Q1 2022 North America - Samsung D3 Campaign,Facebook,3032617,In-stream video,2022-03-06,3032617,6682,,32627,31,32627,31
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989225,In-stream video (skippable),2022-01-27,2989225,52230,,143617,3253,143617,3253
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989230,In-stream video (skippable),2022-01-27,2989230,2486,,9909,130,9909,130
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989223,In-stream video (skippable),2022-01-27,2989223,37034,,92936,2207,92936,2207
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989228,In-stream video (skippable),2022-01-27,2989228,191993,,594570,5377,594570,5377
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989222,In-stream video (skippable),2022-01-27,2989222,165925,,508855,4079,508855,4079
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989221,In-stream video (skippable),2022-01-27,2989221,19095,,60141,1152,60141,1152
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989229,In-stream video (skippable),2022-01-27,2989229,46169,,113065,2829,113065,2829
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989232,In-stream video (skippable),2022-01-27,2989232,2000,,6677,79,6677,79
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989226,In-stream video (skippable),2022-01-27,2989226,3103,,11352,162,11352,162
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989227,In-stream video (skippable),2022-01-27,2989227,21080,,62446,1191,62446,1191
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989224,In-stream video (skippable),2022-01-27,2989224,998,,4797,66,4797,66
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989231,In-stream video (skippable),2022-01-27,2989231,59162,,157313,4155,157313,4155
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989225,In-stream video (skippable),2022-01-28,2989225,114977,,313058,6084,313058,6084
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989230,In-stream video (skippable),2022-01-28,2989230,3812,,15541,179,15541,179
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989223,In-stream video (skippable),2022-01-28,2989223,72379,,171417,3855,171417,3855
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989228,In-stream video (skippable),2022-01-28,2989228,223099,,698771,5206,698771,5206
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989222,In-stream video (skippable),2022-01-28,2989222,170173,,547024,3805,547024,3805
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989221,In-stream video (skippable),2022-01-28,2989221,130926,,403492,5184,403492,5184
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989229,In-stream video (skippable),2022-01-28,2989229,108791,,252340,6035,252340,6035
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989232,In-stream video (skippable),2022-01-28,2989232,49983,,193322,1476,193322,1476
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989226,In-stream video (skippable),2022-01-28,2989226,51511,,210146,1440,210146,1440
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989227,In-stream video (skippable),2022-01-28,2989227,108313,,316630,4840,316630,4840
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989224,In-stream video (skippable),2022-01-28,2989224,3722,,16174,212,16174,212
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989231,In-stream video (skippable),2022-01-28,2989231,127204,,343289,7878,343289,7878
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989225,In-stream video (skippable),2022-01-29,2989225,142835,,395283,7526,395283,7526
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989230,In-stream video (skippable),2022-01-29,2989230,1260,,4667,87,4667,87
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989223,In-stream video (skippable),2022-01-29,2989223,79649,,187952,3519,187952,3519
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989228,In-stream video (skippable),2022-01-29,2989228,304581,,1083793,6731,1083793,6731
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989222,In-stream video (skippable),2022-01-29,2989222,195615,,712142,4265,712142,4265
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989221,In-stream video (skippable),2022-01-29,2989221,171611,,549383,6451,549383,6451
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989229,In-stream video (skippable),2022-01-29,2989229,80387,,188417,3897,188417,3897
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989232,In-stream video (skippable),2022-01-29,2989232,14846,,53006,486,53006,486
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989226,In-stream video (skippable),2022-01-29,2989226,24110,,96011,727,96011,727
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989227,In-stream video (skippable),2022-01-29,2989227,155718,,467752,6284,467752,6284
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989224,In-stream video (skippable),2022-01-29,2989224,1771,,7947,115,7947,115
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989231,In-stream video (skippable),2022-01-29,2989231,186108,,508580,10823,508580,10823
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989225,In-stream video (skippable),2022-01-30,2989225,178108,,525325,9383,525325,9383
